"WaterYear","Facility","FL","SampleDateTime","SampleDate","SampleTime","duplicateID","ArchiveID","LAD_KevinReece","GeneticAssignment","Salvage_KevinReece","Loss_KevinReece"
1999,"SWP",158,1999-03-02 01:00:00,1999-03-02,"01:00:00",1,"U990038SWP","Winter","Winter",1,4.33
1999,"SWP",163,1999-03-14 15:00:00,1999-03-14,"15:00:00",1,"U990100SWP","Winter","Winter",6,26.27
2001,"SWP",119,2001-02-20 21:00:00,2001-02-20,"21:00:00",1,"U010189SWP","Winter","Winter",6,27.06
2002,"SWP",78,2001-12-16 15:00:00,2001-12-16,"15:00:00",1,"U012153SWP","Winter","Winter",6,24.58
2002,"SWP",106,2002-03-11 00:00:00,2002-03-11,"00:00:00",1,"U020042SWP","Winter","Winter",1,4.33
2003,"CVP",101,2003-03-27 18:00:00,2003-03-27,"18:00:00",1,"U030328CVP","Spring","Winter",12,7.81
2003,"SWP",106,2003-04-07 00:00:00,2003-04-07,"00:00:00",1,"U030410SWP","Spring","Winter",1,4.33
2006,"CVP",166,2006-01-24 00:00:00,2006-01-24,"00:00:00",1,"U060057CVP","Winter","Winter",1,0.57
2006,"SWP",119,2006-03-28 00:00:00,2006-03-28,"00:00:00",1,"U060007SWP","Winter","Winter",1,4.33
2007,"CVP",115,2007-03-06 06:00:00,2007-03-06,"06:00:00",1,"U070128CVP","Winter","Winter",12,7.81
2008,"CVP",104,2008-03-12 00:00:00,2008-03-12,"00:00:00",1,"U080130CVP","Winter","Winter",4,3.88
2010,"CVP",109,2010-02-12 00:00:00,2010-02-12,"00:00:00",1,"U100024CVP","Winter","Winter",1,0.57
2010,"SWP",126,2010-03-09 09:00:00,2010-03-09,"09:00:00",1,"U100093SWP","Winter","Winter",1,4.33
2012,"SWP",133,2012-03-24 16:00:00,2012-03-24,"16:00:00",1,"U120090SWP","Winter","Winter",4,3.19
